Series,f0,f0.se,f0.p,f0.lo95,f0.up95,Method,Warning,Prefilter,Prefilter.p,SatCrit.Warning,LR.f0,LR.f0.se,LR.f0.p,LR.f0.lo95,LR.f0.up95,LR.Warning
01-06-2021 - 10113 - SBcc,1.139e+02,1.283e+01,7.145e-02,-4.919e+01,2.769e+02,HMR,None,Signal,0.000e+00,None,5.518e+01,9.730e+00,2.971e-02,1.332e+01,9.705e+01,None
01-06-2021 - 10114 - SBcc,1.040e+02,1.234e+01,7.521e-02,-5.283e+01,2.607e+02,HMR,None,Signal,0.000e+00,None,7.834e+01,5.390e+00,4.700e-03,5.515e+01,1.015e+02,None
01-06-2021 - 10213 - SBgc,6.274e+01,2.545e+01,1.326e-01,-4.677e+01,1.722e+02,LR,None,Signal,0.000e+00,Flux limited by saturation assumption - LR applied,6.274e+01,2.545e+01,1.326e-01,-4.677e+01,1.722e+02,None
01-06-2021 - 10313 - GC2,1.285e+01,8.717e+00,2.782e-01,-2.465e+01,5.036e+01,LR,None,Signal,1.293e-02,None,1.285e+01,8.717e+00,2.782e-01,-2.465e+01,5.036e+01,None
01-06-2021 - 10413 - GC1,-3.303e+01,1.264e+01,1.206e-01,-8.744e+01,2.137e+01,LR,None,Signal,4.363e-08,None,-3.303e+01,1.264e+01,1.206e-01,-8.744e+01,2.137e+01,None
01-06-2021 - 10513 - MS,1.059e+03,2.551e+01,1.534e-02,7.346e+02,1.383e+03,HMR,None,Signal,0.000e+00,None,7.651e+02,5.507e+01,5.140e-03,5.282e+02,1.002e+03,None
01-06-2021 - 10613 - MScc,1.431e+03,4.089e+01,1.819e-02,9.114e+02,1.950e+03,HMR,None,Signal,0.000e+00,None,8.802e+02,9.904e+01,1.242e-02,4.541e+02,1.306e+03,None
01-06-2021 - 10713 - MS,1.299e+02,3.431e+01,6.321e-02,-1.771e+01,2.775e+02,LR,None,Signal,0.000e+00,Flux limited by saturation assumption - LR applied,1.299e+02,3.431e+01,6.321e-02,-1.771e+01,2.775e+02,None
01-06-2021 - 10813 - MScc,5.044e+02,6.372e+01,8.001e-02,-3.053e+02,1.314e+03,HMR,None,Signal,0.000e+00,None,3.220e+02,3.408e+01,1.102e-02,1.753e+02,4.686e+02,None
01-06-2021 - 10913 - GC2,2.250e+01,4.436e+00,3.675e-02,3.412e+00,4.159e+01,LR,None,Signal,9.669e-04,None,2.250e+01,4.436e+00,3.675e-02,3.412e+00,4.159e+01,None
01-06-2021 - 11013 - SBgc,7.157e+01,1.066e+01,9.415e-02,-6.390e+01,2.070e+02,HMR,None,Signal,0.000e+00,None,5.839e+01,3.262e+00,3.107e-03,4.435e+01,7.242e+01,None
01-06-2021 - 11113 - GC1,-8.903e+00,4.159e+00,1.656e-01,-2.680e+01,8.992e+00,LR,None,Noise,3.800e-01,None,-8.903e+00,4.159e+00,1.656e-01,-2.680e+01,8.992e+00,None
01-06-2021 - 11213 - SBcc,3.473e+02,6.393e+01,1.159e-01,-4.651e+02,1.160e+03,HMR,None,Signal,0.000e+00,None,1.622e+02,2.889e+01,3.027e-02,3.796e+01,2.865e+02,None
01-06-2021 - 11214 - SBcc,1.880e+02,2.120e+01,7.150e-02,-8.143e+01,4.574e+02,HMR,None,Signal,0.000e+00,None,1.850e+02,4.315e+00,5.436e-04,1.664e+02,2.035e+02,None
01-06-2021 - 11313 - SBgc,3.364e+01,2.390e+01,3.932e-01,-2.700e+02,3.373e+02,HMR,None,Signal,1.835e-06,None,2.910e+01,4.623e+00,2.432e-02,9.211e+00,4.900e+01,None
01-06-2021 - 11413 - GC2,2.403e+01,9.788e+00,1.335e-01,-1.809e+01,6.615e+01,LR,None,Signal,1.091e-05,Flux limited by saturation assumption - LR applied,2.403e+01,9.788e+00,1.335e-01,-1.809e+01,6.615e+01,None
01-06-2021 - 11513 - SBcc,1.790e+02,1.157e+02,3.652e-01,-1.291e+03,1.649e+03,HMR,None,Signal,0.000e+00,None,1.316e+02,2.201e+01,2.687e-02,3.685e+01,2.262e+02,None
01-06-2021 - 11514 - SBcc,1.748e+01,8.592e+00,1.789e-01,-1.949e+01,5.445e+01,LR,None,Signal,4.250e-03,None,1.748e+01,8.592e+00,1.789e-01,-1.949e+01,5.445e+01,None
01-06-2021 - 11613 - MScc,1.772e+03,9.861e+01,3.540e-02,5.187e+02,3.025e+03,HMR,None,Signal,0.000e+00,None,1.154e+03,1.109e+02,9.110e-03,6.767e+02,1.631e+03,None
01-06-2021 - 11713 - MS,7.465e+02,7.472e+01,6.351e-02,-2.029e+02,1.696e+03,HMR,None,Signal,0.000e+00,None,6.368e+02,2.573e+01,1.629e-03,5.261e+02,7.475e+02,None
01-06-2021 - 11813 - GC1,4.630e-01,8.659e+00,9.622e-01,-3.680e+01,3.772e+01,LR,None,Noise,2.207e-01,Flux limited by saturation assumption - LR applied,4.630e-01,8.659e+00,9.622e-01,-3.680e+01,3.772e+01,None
